127.0.0.1 - - [25/Jul/2024:12:22:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Jul/2024:12:22:42 +0530] "GET /03_HCQL_38/ HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [25/Jul/2024:12:22:56 +0530] "GET /03_HCQL_38/GetFaculty HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [25/Jul/2024:12:23:48 +0530] "GET /03_HCQL_38/GetFaculty HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [25/Jul/2024:12:24:02 +0530] "GET /03_HCQL_38/GetFaculty HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [25/Jul/2024:12:33:12 +0530] "GET /03_HCQL_38/GetFaculty HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [25/Jul/2024:12:33:27 +0530] "GET /03_HCQL_38/GetFaculty HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [25/Jul/2024:12:33:28 +0530] "GET /03_HCQL_38/GetFaculty HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [25/Jul/2024:12:37:41 +0530] "GET /03_HCQL_38/GetFaculty HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [25/Jul/2024:12:37:43 +0530] "GET /03_HCQL_38/GetFaculty HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [25/Jul/2024:12:37:43 +0530] "GET /03_HCQL_38/GetFaculty HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [25/Jul/2024:12:37:43 +0530] "GET /03_HCQL_38/GetFaculty HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [25/Jul/2024:12:37:43 +0530] "GET /03_HCQL_38/GetFaculty HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [25/Jul/2024:12:37:52 +0530] "GET /03_HCQL_38/GetFaculty HTTP/1.1" 200 42
